id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Occurrences>,score<Avg. pub. year>,score<Avg. citations>,score<Avg. norm. citations>
1,3 dimensional space,0.4807,0.8161,4,27,38,4,2013.25,81.75,0.9748
8,adaptation,-0.8017,-0.0829,1,21,22,3,2022,6.3333,0.9163
17,algorithms,-0.7293,-0.2941,1,25,31,5,2015,27.6,1.6523
25,arm,-0.3216,-0.288,1,36,52,11,2014.3636,22.4545,0.6455
26,arm movements,-0.5651,-0.3628,1,34,48,6,2014.1667,21,0.6054
40,bci,0.6599,0.4159,5,17,22,4,2017.5,10,2.1563
48,brain computer interface,0.8107,-0.2276,3,45,75,16,2018.4375,40.6875,1.05
49,brain computer interface (bci),0.967,0.2406,3,15,16,3,2021,11,0.557
50,brain computer interfaces,1.1525,0.0709,3,8,8,3,2025,0,0
53,brain machine interface,0.335,-0.2278,2,65,147,33,2017.4848,13.0303,0.8643
54,brain machine interface (bmi),-0.0827,-0.6346,2,30,35,6,2015.3333,25.5,1.0829
55,brain machine interfaces,0.269,0.0849,6,40,50,7,2019.1429,19.1429,0.6164
56,brain machine interfaces (bmi),-0.9986,0.006,1,17,19,3,2016.3333,31,0.8939
58,brain modeling,1.3222,-0.2964,3,9,15,3,2024.6667,24.3333,2.5628
65,cell discharge,0.2681,0.9766,4,20,28,3,2013.6667,98,0.7428
70,classification,0.7024,0.1446,3,27,35,6,2020.3333,11.5,1.3986
95,cortex,-0.4172,-0.0692,1,52,94,20,2014.95,45.5,1.1589
97,cortical control,0.0524,0.0079,4,47,82,14,2015.8571,48.2857,1.225
99,cortical neurons,-0.114,0.175,1,39,60,11,2010.4545,18.4545,0.7438
108,decoding,0.1306,-0.3095,2,53,67,11,2018.2727,23.9091,1.5465
113,deep learning,0.1929,-0.1529,6,25,27,4,2020,36,2.4232
123,direction,-0.1788,0.0634,4,57,98,13,2015.3077,39.5385,0.7722
130,dynamics,-0.5414,0.0845,7,29,35,5,2022.8,4,0.5932
