PCA_Dimension,RMSE,Sweep_Runtime_s
1,7.82502469274204,3.80417570833333
2,7.82502469274204,3.45384083333333
3,7.82502469274204,3.50412779166667
4,7.82502469274204,3.45272708333333
5,7.82502469274204,3.64027391666667
6,7.82502469274204,3.37876208333333
7,7.82502469274204,3.55955691666667
8,7.82502469274204,3.90751829166667
10,7.82502469274204,3.55490666666667
12,7.82502469274204,3.7105015
15,7.82502469274204,3.88708920833333
20,7.82502469274204,3.69986620833333
25,7.82502469274204,3.71653
30,7.82502469274204,3.61210775
40,7.82502469274204,3.621445125
50,7.82502469274204,3.789206375
